k,real,imag,mag,phase
230,4.01372,3.19334,5.12907,0.672056
231,-1.27678,1.1828,1.74046,2.39438
232,-5.87857,10.0484,11.6416,2.10013
233,4.12496,21.9436,22.328,1.38498
234,24.1575,17.8899,30.0605,0.637427
235,31.8406,-3.97471,32.0877,-0.124189
236,17.2285,-21.6298,27.6526,-0.898184
237,-2.2171,-18.194,18.3286,-1.69206
238,-6.16154,-4.06571,7.38204,-2.55832
239,1.845,0.880449,2.04431,0.445249
240,4.8595,-4.45497,6.59253,-0.741995
241,-0.351093,-6.52717,6.5366,-1.62453
242,-2.85419,-1.57528,3.26005,-2.63728
243,1.09198,1.12645,1.56886,0.800934
244,3.30243,-2.12799,3.92866,-0.572407
245,0.0712672,-4.00152,4.00216,-1.55299
246,-1.96383,-0.820007,2.12816,-2.74605
247,0.813323,1.32869,1.55785,1.02151
248,2.74431,-1.1287,2.96735,-0.3902
249,0.275422,-2.89124,2.90433,-1.47582
250,-1.6,-0.417169,1.65349,-2.88654
251,0.651523,1.55818,1.68891,1.17476
252,2.50834,-0.503052,2.55829,-0.197926
253,0.412319,-2.26197,2.29924,-1.39049
254,-1.4573,-0.129272,1.46302,-3.05312
255,0.528717,1.85204,1.92603,1.29271
